input,comment,replyCount,label,sentiment_label,sentiment_score
Samsung Galaxy Z Fold 7,Sponsored by dbrand. Skin your Galaxy Fold7 (or other device) here: https://dbrand.com/mrmobile-fold7,3,others,NEGATIVE,0.9919825196266174
Samsung Galaxy Z Fold 7,Finally a review of the zfold 7 from an actual fold user. You can really appreciate when a creator isn't just switching from their iPhone for a week to give a review. Your opinions aren't the minor the majority just use iPhone and dont know what to expect. Perfect review once again thank you,30,others,POSITIVE,0.9991368651390076
Samsung Galaxy Z Fold 7,"omg the script next to the selfie video... thank you so much for that, such a great idea",10,others,POSITIVE,0.9970598816871643
Samsung Galaxy Z Fold 7,I've said this before and I'll say it again. MrMobile is the best reviewer. These videos are just art.,0,others,POSITIVE,0.9992165565490723
Samsung Galaxy Z Fold 7,my man starts the video with a shot at a beautiful large scale architecture. I love!,0,others,POSITIVE,0.9998737573623657
Samsung Galaxy Z Fold 7,"Thank for standing up for the removal of the under display camera lol. I was very surprised to see the amount of people saying ""Oh but you can take better selfies now!"". Now with both that and S pen support being gone, there is nothing unique setting this apart from any other folding phone, shame.",26,design,NEGATIVE,0.9986529350280762
Samsung Galaxy Z Fold 7,"this is hands down the best phone review ever, not just by him but comapred to everyone, he used it, educated us, gave really quality opinions and also some personality. Honestly what a script and what a video. Respect!",1,others,POSITIVE,0.9958885312080383
Samsung Galaxy Z Fold 7,"It's year 2060, I can barely get out of bed and I see mr mobile's review of the apple first foldable drop. Life is good",16,others,POSITIVE,0.9997665286064148
Samsung Galaxy Z Fold 7,Your reviews are the best because you focus on not only real life usage but also the (your) personality and lifestyle that makes it so relatable and close to the heart.  Keep it up!  - your sub from Singapore,0,others,POSITIVE,0.9997207522392273
Samsung Galaxy Z Fold 7,"I was legit blown away when i held this in hand at best buy, it is indistinguishable from a normal phone at this point. Excited to see how the Pixel 10 Pro fold compares to this soon!",2,design,NEGATIVE,0.99696284532547
Samsung Galaxy Z Fold 7,"6:00
THANK YOU for being the voice of the minority about the removal of the UDC! I wish that Samsung at least could've moved the hole punch to the corner of the inner display so it wouldn't be visible when watching videos",8,design,NEGATIVE,0.9946730732917786
Samsung Galaxy Z Fold 7,new MrMobile video = Instant view! still the best in the biz with narration! thanks for staying on the cutting edge and reporting back for us normies,0,others,POSITIVE,0.9995657801628113
Samsung Galaxy Z Fold 7,Had one since Thursday and the engineering is unreal.,6,design,NEGATIVE,0.999693751335144
Samsung Galaxy Z Fold 7,"I got this as a Birthday gift for my dad and he LOVES it. He can see excel sheets, sign documents, review contracts, managing his office work and talk to us on video call all without opening his laptop.",0,others,POSITIVE,0.9997023940086365
Samsung Galaxy Z Fold 7,I'm actually in the camp of the S Pen because with the bigger screen you can now have a video playing of top with less black bars and have more space to write on the bottom half the screen. One step at a time I guess,18,others,NEGATIVE,0.9877644181251526
Samsung Galaxy Z Fold 7,"Oh my Lord, just the review. I was waiting for Nobody Does it like Mr. Mobile and I've been following you since you were in Pocket now and every time you drop a review, it's mind-blowing Exquisite. I love your videos and I've been subscribed to your channel for quite a while my guy and as soon as that pop on my shadow Blue Fold 7 as a notification, I have to jump in there and see it because I do give it to you. The phone is amazing and I parted with my z-fold six for the same reason cuz we finally get some of the things Samsung should have done in Forever.😊😊",0,others,POSITIVE,0.9995651841163635
Samsung Galaxy Z Fold 7,The 1TB version of this phone is over $4000 here in New Zealand. Absolutely insane..,12,price,NEGATIVE,0.987575113773346
Samsung Galaxy Z Fold 7,in love with the fold 7.. still a honeymoon phase but as someone used the previous versions starting from 2nd fold i always kept coming back to iphone... This time i already sold my iPhone for the very first time...,1,design,NEGATIVE,0.9836279153823853
Samsung Galaxy Z Fold 7,Finally. The review we're waiting for,0,others,POSITIVE,0.9913573265075684
Samsung Galaxy Z Fold 7,"I kinda wish they had switched the camera bump to go horizontal this time, or eventually. Just to get rid of that crazy table rock! Thanks for the great video Michael!",3,camera,POSITIVE,0.9900738000869751
Samsung Galaxy Z Fold 7,Will you be getting the Samsung Galaxy Z Fold 7? 🤔,9,others,NEGATIVE,0.9908374547958374
Samsung Galaxy Z Fold 7,"I'm an outdoors guy, hiking, biking, kayaking, boating fishing  and being outdoors in dusty and rainy and freezing and super hot weather. I've exposed my Fold 5 to that for two straight years with no problems. When I traded it in for the 1 TB Z Fold 7 it still looked brand new. I expect the Fold 7 to be even more rugged. I use fully protective cases when I'm out in bad conditions, including screen protector and hinge protection, but don't treat the phone gently. I fish with it sitting out in the open boat in pouring rain or in my off road buggy in tremendous dust and heat. No problems!",7,design,POSITIVE,0.7510353326797485
Samsung Galaxy Z Fold 7,"I've had mine for 11days, replaced my Z Fold 5 with the 1TB Z Fold 7. Very pleased with it. Use a capacitive stylus and barely miss the S pen. Battery life significantly better than the Fold 5. I find myself using the silicon disc capacitive stylus on my Galaxy Book and Galaxy Tab more than the S pens they came with.",5,battery,POSITIVE,0.999259889125824
Samsung Galaxy Z Fold 7,Just ordered mine! So excited,2,others,POSITIVE,0.9995895028114319
Samsung Galaxy Z Fold 7,I Have Had The Z Fold 3 The Zfold 5 And Now The Z fold 7 I Love It I Love Samsung Phones I Had One Since The S 7 Edge !!!!,2,others,POSITIVE,0.9994686245918274
Samsung Galaxy Z Fold 7,"Great video, Dion!",2,others,POSITIVE,0.9998815059661865
Samsung Galaxy Z Fold 7,waiting for T-mobile to send mine. First time buyer. Im very excited,1,others,POSITIVE,0.9983646273612976
