title,url,viewCount,date,likes,channelUrl,channelId,numberOfSubscribers,commentsCount,input
2 Weeks with the iPhone 17... [Shot on iPhone 17],https://www.youtube.com/watch?v=X3W7jRBzhtE,215619,2025-10-04T12:11:46.000Z,4900,https://www.youtube.com/@Thetechchap,UCzlXf-yUIaOpOjEjPrOO9TA,1600000,551,Iphone 17
Apple iPhone 17 Pro full review,https://www.youtube.com/watch?v=7vmw1UH7CmU,2178,2025-10-10T06:20:43.000Z,212,https://www.youtube.com/@GSMArenaOfficial,UCbLq9tsbo8peV22VxbDAfXA,2050000,41,Iphone 17
Why I Love My iPhone Air (Space Black) And You Don't Have To!,https://www.youtube.com/watch?v=mO0SIzLPsRY,12252,2025-10-09T16:01:21.000Z,623,https://www.youtube.com/@QasimZafar,UCfkPR9Uo0OPfmmnD3TwHZ7A,15600,271,Iphone 17
The best base iPhone yet - iPhone 17,https://www.youtube.com/watch?v=MULs_gKWtS4,259267,2025-09-26T19:33:10.000Z,7600,https://www.youtube.com/@ShortCircuit,UCdBK94H6oZT2Q7l0-b0xmMg,2490000,510,Iphone 17
iPhone 17 and iPhone Air reviewed: Should you upgrade this year?,https://www.youtube.com/watch?v=WKsxkdO32gQ,171868,2025-10-06T13:01:04.000Z,163,https://www.youtube.com/@CNN,UCupvZG-5ko_eiXAupbDfxWw,18800000,46,Iphone 17
The iPhone 17 Problem,https://www.youtube.com/watch?v=GBl7vX6PjPE,177584,2025-09-20T00:28:08.000Z,5500,https://www.youtube.com/@austinevans,UCXGgrKt94gR6lmN4aN3mYTg,5690000,301,Iphone 17
"iPhone 17, 17 Pro & Air Hidden Features! New Apple Secrets",https://www.youtube.com/watch?v=FwFjBMb2A-Y,129051,2025-09-22T15:56:02.000Z,3000,https://www.youtube.com/@AppleTrack,UC2VrA-oteANZQ07TquwBvAQ,560000,138,Iphone 17
Apple's SUPRISE iPhone Update!,https://www.youtube.com/watch?v=NxNT_bHS9ro,30353,2025-10-08T18:44:19.000Z,680,https://www.youtube.com/@TheAppleCircle,UCz0zSuukBglV2YwG3_7uKRg,330000,173,Iphone 17
iPhone 17 Two Weeks Later - Forget The Pro!,https://www.youtube.com/watch?v=kWG6pYd7oDc,47490,2025-10-04T14:31:04.000Z,1200,https://www.youtube.com/@MikeOBrienMedia,UCZZ4ivUawsXRktLKej8d6Xw,619000,166,Iphone 17
Stop Wasting Money on Bad iPhone 17 Cases (Buy These Instead!),https://www.youtube.com/watch?v=kNDuVzKPU8Y,55613,2025-10-04T13:01:35.000Z,1100,https://www.youtube.com/@excessorizeme,UCj7ML5-da-bCCcHz0ipUmYQ,1560000,146,Iphone 17
10 Amazing Things To Do with Your Samsung Galaxy Z Fold 7 - Powerful Features,https://www.youtube.com/watch?v=Aod6NDXVTDY,36222,2025-07-20T20:19:08.000Z,647,https://www.youtube.com/@jspring86,UCVufJpooxaYTboekTMo9Djw,189000,114,Samsung Galaxy Z Fold 7
Samsung Galaxy Z Fold 7 | 3 Weeks Later. Best Foldable to Get in 2025? 🤔,https://www.youtube.com/watch?v=pHDazmxmtJw,58616,2025-07-30T11:39:09.000Z,812,https://www.youtube.com/@LimReviews,UCHOBvDVA-q1ozIlLBpLgpEQ,332000,127,Samsung Galaxy Z Fold 7
Watch this BEFORE you buy a case for the Samsung Z Fold 7,https://www.youtube.com/watch?v=Bv5zg9BRGws,53902,2025-08-16T13:33:03.000Z,729,https://www.youtube.com/@Unfilterd,UC4FoXEHxRR_nrll5bM-TsGA,26100,103,Samsung Galaxy Z Fold 7
Z Fold 7 - The COMPLETE Setup Guide! (40+ Settings/Features),https://www.youtube.com/watch?v=IVmARqDfaT8,117967,2025-08-02T13:01:47.000Z,2000,https://www.youtube.com/@TechisodeTV,UCo6hpY_BpeDt72PEJicyVOQ,410000,109,Samsung Galaxy Z Fold 7
Samsung Galaxy Z Fold 7 - “Real Review” / The Snyder Cut,https://www.youtube.com/watch?v=98kJLsc0UOA,291185,2025-07-25T13:00:01.000Z,10000,https://www.youtube.com/@FlossyCarter,UCFfCqe7b9YiDk2ZiAG8UIGA,2080000,3135,Samsung Galaxy Z Fold 7
Galaxy Z Fold 7 Review | What Have They Done?!,https://www.youtube.com/watch?v=yJ0yhhMYNCw,152843,2025-07-30T13:01:43.000Z,4200,https://www.youtube.com/@CreatedbyEllaYT,UCfuwnVrJuKnqb-2hQZbctsQ,631000,315,Samsung Galaxy Z Fold 7
"Samsung Galaxy Z Fold 7 - Tips, Tricks & Hidden Features!",https://www.youtube.com/watch?v=VRfOqtHi30E,413073,2025-08-12T15:01:01.000Z,13000,https://www.youtube.com/@HaylsWorld,UCIxLxlan8q9WA7sjuq6LdTQ,2490000,756,Samsung Galaxy Z Fold 7
Samsung Z Fold 7 Durability Test --- The End is Near,https://www.youtube.com/watch?v=8hgg4YEdPak,6138758,2025-07-27T18:20:45.000Z,140000,https://www.youtube.com/@JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,9660000,7818,Samsung Galaxy Z Fold 7
"Galaxy Z Fold 7 One Week Later, WORTH IT? (HONEST Review)",https://www.youtube.com/watch?v=JMvTyV-xduo,335454,2025-07-16T14:00:26.000Z,5700,https://www.youtube.com/@jonvaliagas,UCkPRaVKwxwqKkQsFD_FursQ,69800,1029,Samsung Galaxy Z Fold 7
Is The SAMSUNG Galaxy Z FLIP 6 Worth It? HONEST REVIEW,https://www.youtube.com/watch?v=_wDMdqbhyrg,633149,2024-08-04T13:00:39.000Z,5200,https://www.youtube.com/@TechFowler,UCwMbSEgxhmOB5dXcxRTKHJQ,121000,590,Samsung Galaxy Z Fold 7
iPhone 16 Pro Max vs Galaxy Z Fold 7 - Which is Better?,https://www.youtube.com/watch?v=24F8YEq7A44,91693,2025-07-25T15:39:39.000Z,966,https://www.youtube.com/@nickackermanchannel,UCWsEZ9v1KC8b5VYjYbEewJA,881000,264,Samsung Galaxy Z Fold 7
